wallet_a,wallet_b,funder,funder_tag,trades,volume_eth
0x86cd4467b6baef4b0e34b9508d788483f64a4bb9,0xb6a684ce14addc0b0daad766424f3e28b49503a5,0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,,117,205983
0x8ce0d9060263b1b5ad3eff2e1e21736b5ef36936,0xea19b97a1523ba7796c3c9075b243e14d3995474,0xaf69aad6588982708d81f7d58c5e432e5b95c968,,265,161094
0x18a4489a739ac9835da14e006b35d65040e53a4a,0x25de83caa6a2c4a07f7b4718faf5aa06d880c0cf,0x534c8bc9781a8072b524b853147a69bc6bf2b552,luca.eth,39,84284
0x0abd70eb980a55d9221e186b9b150539166fc679,0xaddb186047b8fd97d64c808f0b8df6589376f256,0xaa94e8ca22ec75d41927e3af4797eb8dd97605d3,,69,55300
0xa236b5bbf42ea2b7f15dfd9704f67153201faa74,0xa8a51ad712215449d125cba1dc215910df1887fc,0x85380efdfd738075100eeca5a4870fd15af1d5ff,,31,3901
0x3e3a55277c0e9f2d5cd333af5eeb3785ff435a59,0x6d608a93a1b86026c7f8241ee3828571ec3544fc,0xcd00e4cb00c8c4c46cc6c1879b23f2c5b379908e,,24,3735
0x770f01c2bee6896a02af072737505fa2c6a39379,0x7cf424acfc64bda5608de84c934c169c7e77f228,0x70dd6bdaf87b071cc44f46e19b291cdd03ddf60f,,43,3229
0xb00b51bf185c7da1e2b61a9d53df7bc863699274,0xb00b5b48b26da7389888e01fa1eb2bbda2997d01,0x4e1e9ef8da3e4a727beb01b26e0f9204056bd381,usem.eth,25,1005
0xe18285b6ad1fe8cc73c5d2bc86ad2c1335d9f9b1,0xfbcb950fd13add1fe0ba95440fba0851575c617d,0xef15f4c1a77cbbc03842fb01cec10b44e8879923,,21,511
0x6ee069db6e81527bf7ba26e536913a166fba1352,0x88eb2863997cbae2169d9022704acf21e423b377,0x70c2607352084a87fe51152259ba12dbe09d5c17,,50,477
