nft_id,sales,volume_eth,min_price,max_price,distinct_txs,top_pair_a,top_pair_b,top_pair_sales,dominance_pct,pair_confidence,pair_structure,token_structure,collection,token_id
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:8319,726,99034,51,260,726,0x22ef06a21222fd7cfbaf4d2467ee084e4f7ce5b7,0x3bf2644f53ae8d064e031cf2e196386f69942f83,53,7.300275482093664,medium,bilateral_mill,distributed_federation,Meebits,8319
0x4e1f41613c9084fdb9e34e11fae9412427480e56:5283,615,242181,0.3,772,615,0xa53496b67eec749ac41b4666d63228a0fb0409cf,0xd73e0def01246b650d8a367a4b209be59c8be8ab,508,82.60162601626017,medium,bilateral_mill,single_pair_dominated,Terraforms,5283
0x4e1f41613c9084fdb9e34e11fae9412427480e56:9559,603,246896,0.3,788,603,0xa53496b67eec749ac41b4666d63228a0fb0409cf,0xd73e0def01246b650d8a367a4b209be59c8be8ab,530,87.89386401326699,medium,bilateral_mill,single_pair_dominated,Terraforms,9559
0x4e1f41613c9084fdb9e34e11fae9412427480e56:9728,563,227799,0.31,756,563,0xa53496b67eec749ac41b4666d63228a0fb0409cf,0xd73e0def01246b650d8a367a4b209be59c8be8ab,503,89.34280639431617,medium,bilateral_mill,single_pair_dominated,Terraforms,9728
0x4e1f41613c9084fdb9e34e11fae9412427480e56:1865,502,252930,0.38,1198.5,502,0x7272b039aadebbc309a11bc8ee7e8363df33fabf,0x7cdbc750bdc92fb92e1b94090289cc6db19e30c2,416,82.86852589641434,medium,bilateral_mill,single_pair_dominated,Terraforms,1865
0x4e1f41613c9084fdb9e34e11fae9412427480e56:8997,496,553749,70,2945,496,0x1ae35fce5942bcecca5f47d9d34d267658d6ac17,0x32b8bfad45b330b81899df23ff6aac609781ce56,496,100,medium,bilateral_mill,single_pair_dominated,Terraforms,8997
0x4e1f41613c9084fdb9e34e11fae9412427480e56:2811,411,71125,1,300,411,0xc269f9f50c64fec1f139e9abd196d393b0e59740,0xc2ba827267af18a6e7f729d2dd9bf980e5740dd0,47,11.435523114355231,medium,concentrated_pair,distributed_federation,Terraforms,2811
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:17452,366,37077,5,182.22,366,0x98499134fd237e9a443a5b59e9ae9129f3c9f8b8,0xecb793b01a1dadecb452fcca855b2f96822a9126,332,90.7103825136612,medium,bilateral_mill,single_pair_dominated,Meebits,17452
0x4e1f41613c9084fdb9e34e11fae9412427480e56:1906,317,214253,303,1413,317,0x718a085f6d45a955395881bceff30ec97ffb1013,0xf6764f702650eb66b2bd7368e2fef7133a8f4f80,317,100,medium,bilateral_mill,single_pair_dominated,Terraforms,1906
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:9228,273,161609,10,819.362,273,0x8ce0d9060263b1b5ad3eff2e1e21736b5ef36936,0xea19b97a1523ba7796c3c9075b243e14d3995474,265,97.06959706959707,high,bilateral_mill,single_pair_dominated,Meebits,9228
0x4e1f41613c9084fdb9e34e11fae9412427480e56:8115,258,162971,148,1370,258,0x718a085f6d45a955395881bceff30ec97ffb1013,0xf6764f702650eb66b2bd7368e2fef7133a8f4f80,210,81.3953488372093,medium,bilateral_mill,single_pair_dominated,Terraforms,8115
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:689,226,37671,15.5,291.06,226,0x1407930f5ff83ff94532885557b334c74b3afc42,0xcaee6d433f36031b87d6e3c06395131a823314f3,45,19.911504424778762,medium,mesh_cluster,mesh_inventory,Meebits,689
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:17282,216,166667,82.8,1280,216,0x13fefdd563a930f07b1ac8a2227acc27c3c12946,0x6165fd87c1bc73a4c44b23934e9136fd92df5b01,133,61.574074074074076,medium,bilateral_mill,few_pair_dominated,Meebits,17282
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:1938,206,34640,20,285.11,206,0x1407930f5ff83ff94532885557b334c74b3afc42,0xcaee6d433f36031b87d6e3c06395131a823314f3,42,20.388349514563107,medium,mesh_cluster,mesh_inventory,Meebits,1938
0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7:15115,186,147007,175,1288,186,0x13fefdd563a930f07b1ac8a2227acc27c3c12946,0x6165fd87c1bc73a4c44b23934e9136fd92df5b01,114,61.29032258064516,medium,bilateral_mill,few_pair_dominated,Meebits,15115
