metric,value
total_sales,14186
total_transfers,7757
wallets_in_graph,5948
tokens_that_moved,5512
tokens_ever_sold,808
total_volume_eth,5676604
tokens_50plus_sales,53
sales_in_top50plus_tokens,9458
attributed_operator_pairs,10
attributed_trades,684
atomic_round_trips,9
confidence_high,33
confidence_low,3
confidence_medium,217
confidence_none,2
token_diffuse,17
token_distributed_federation,2
token_few_pair_dominated,165
token_mesh_inventory,7
token_single_pair_dominated,617
structure_bilateral_mill,56
structure_concentrated_pair,173
structure_inventory_shuffle_review,4
structure_mesh_cluster,6
structure_multi_pair_operator,3
structure_ring_member,13
