wallet,n_pairs,top_pair_trades,total_pair_trades,total_pair_volume_eth,top_pair_tokens,pct_own_max,intensity_max,partners,round_trips_total,ring_appearances,ring_tokens,self_sale_eth,funder,funder_tag,avg_price_per_trade,flag_selfsale,flag_pingpong,flag_ring,flag_concentration,flag_attributed,detectors_fired,confidence,structure_type,collection_focus
0x18a4489a739ac9835da14e006b35d65040e53a4a,2,74,113,377808,2,57,39,0x25de83caa6a2c4a07f7b4718faf5aa06d880c0cf| 0xf1ddb5dacc5a916842aae0a6fbe59c36f97bd940,54,3,2,5239,0x534c8bc9781a8072b524b853147a69bc6bf2b552,luca.eth,3343.433628318584,1,1,1,1,1,5,high,ring_member,Meebits
0xf1ddb5dacc5a916842aae0a6fbe59c36f97bd940,1,74,74,293524,2,78,37,0x18a4489a739ac9835da14e006b35d65040e53a4a,36,3,2,,,,3966.5405405405404,0,1,1,1,0,3,high,ring_member,Meebits
0x86cd4467b6baef4b0e34b9508d788483f64a4bb9,1,117,117,205983,1,98,117,0xb6a684ce14addc0b0daad766424f3e28b49503a5,58,,,,0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,,1760.5384615384614,0,1,0,1,1,3,high,bilateral_mill,Meebits
0xb6a684ce14addc0b0daad766424f3e28b49503a5,1,117,117,205983,1,98,117,0x86cd4467b6baef4b0e34b9508d788483f64a4bb9,58,,,,0xb0449ec1a8a60f95322617d6ed52e1ba1a7beb49,,1760.5384615384614,0,1,0,1,1,3,high,bilateral_mill,Meebits
0x8ce0d9060263b1b5ad3eff2e1e21736b5ef36936,1,265,265,161094,1,100,265,0xea19b97a1523ba7796c3c9075b243e14d3995474,132,,,,0xaf69aad6588982708d81f7d58c5e432e5b95c968,,607.9018867924528,0,1,0,1,1,3,high,bilateral_mill,Meebits
0xea19b97a1523ba7796c3c9075b243e14d3995474,1,265,265,161094,1,100,265,0x8ce0d9060263b1b5ad3eff2e1e21736b5ef36936,132,,,,0xaf69aad6588982708d81f7d58c5e432e5b95c968,,607.9018867924528,0,1,0,1,1,3,high,bilateral_mill,Meebits
0xfd12d178ac2c1854129aaa2428164687f1d14eca,2,146,250,152981,2,58,73,0x16033a8ebe3803056e40ccb3720f02440b2422b0| 0x8b3383ffb325e3169c26b0d9cd6d0ae8c48f6331,124,1,1,,,,611.924,0,1,1,1,0,3,high,ring_member,Meebits
0x16033a8ebe3803056e40ccb3720f02440b2422b0,1,146,146,96003,2,97,73,0xfd12d178ac2c1854129aaa2428164687f1d14eca,73,1,1,,,,657.554794520548,0,1,1,1,0,3,high,ring_member,Meebits
0x25de83caa6a2c4a07f7b4718faf5aa06d880c0cf,1,39,39,84284,1,100,39,0x18a4489a739ac9835da14e006b35d65040e53a4a,18,,,,0x534c8bc9781a8072b524b853147a69bc6bf2b552,luca.eth,2161.128205128205,0,1,0,1,1,3,high,concentrated_pair,Meebits
0x26fd02908adc0df38d33c9d36f02ae5fe847362a,2,196,311,57805,4,63,49,0x845291611c8688e5a9ad2850536dd0f6980b6125| 0xe6f3fd8abb61ca6417d386e67e9596c3492d49a4,152,2,2,,,,185.86816720257235,0,1,1,1,0,3,high,ring_member,Terraforms
0x8b3383ffb325e3169c26b0d9cd6d0ae8c48f6331,1,104,104,56978,2,95,52,0xfd12d178ac2c1854129aaa2428164687f1d14eca,51,1,1,,,,547.8653846153846,0,1,1,1,0,3,high,ring_member,Meebits
0x0abd70eb980a55d9221e186b9b150539166fc679,1,69,69,55300,1,100,69,0xaddb186047b8fd97d64c808f0b8df6589376f256,34,,,,0xaa94e8ca22ec75d41927e3af4797eb8dd97605d3,,801.4492753623189,0,1,0,1,1,3,high,bilateral_mill,Meebits
